Sound;Number;ValenceMean;ValenceSD;ArousalMean;ArousalSD
Cuckoo;710;4.27;2.04;6.24;1.88
Siren1;711;2.61;1.59;7.39;2.02
Buzzer;712;2.42;1.62;7.98;1.99
Sirens;713;2.95;1.71;6.98;1.53
Siren2;714;3.1;1.67;6.94;1.85
Alarm;715;4.3;2.5;6.99;1.79
SlotMachine1;716;7;2.17;6.44;1.73
SlotMachine2;717;7.32;1.64;6.56;2.19
DentistDrill;719;2.89;1.67;6.91;2.02
BrushTeeth;720;4.86;1.8;4.18;1.79
Beer;721;6.71;1.75;5;2.12
Walking;722;4.83;1.22;4.97;1.82
Radio;723;4.52;1.47;4.42;1.92
Chewing;724;5.34;1.97;4.91;1.74
SodaFizz;725;6.61;1.8;4.55;2.17
CorkPour;726;6.82;1.6;4.51;2.08
Paper1;728;4.72;1.26;4.35;2.09
Paper2;729;4.3;1.69;5.79;1.90
GlassBreak;730;3.22;1.45;6.23;1.78
Crash;732;2.89;1.68;6.98;1.75
NativeSong;802;6.17;1.99;5.29;1.74
Bugle;808;6.32;1.76;6.35;2.15
Harp;809;7.44;1.41;3.36;1.84
Beethoven;810;7.51;1.66;4.18;2.38
Bach;811;7.4;1.63;4.95;2.46
Choir;812;6.9;1.69;3.43;2.56
Wedding;813;7.2;1.86;5.89;2.40
RockNRoll;815;7.9;1.53;6.85;2.16
Guitar;816;6.98;1.9;5.23;2.08
Bongos;817;7.67;1.46;7.15;2.11
FunkMusic;820;6.94;1.98;5.87;1.92
BagPipes;826;6.21;2.12;5.07;2.06
Electricity;910;3.86;1.83;6.18;2.27
