Description;IAPS;ValenceMean;ValenceSD;ArousalMean;ArousalSD;set
Woman;2036;5.8;1.28;3.24;1.88;18
Woman;2037;6.42;1.24;3.35;2.04;15
NeuWoman;2038;5.09;1.35;2.94;1.93;16
Woman;2039;3.65;1.44;3.46;1.94;18
Baby;2040;8.17;1.6;4.64;2.54;1
Baby;2045;7.87;1.19;5.47;2.34;17
Baby;2050;8.2;1.31;4.57;2.53;1
Baby;2053;2.47;1.87;5.25;2.46;8
ManInPool;2055.1;3.15;1.84;4.95;2.11;14
ManInPool;2055.2;6.4;1.75;4.45;2.18;13
Diving;2056;6.34;1.3;4.63;1.9;18
Father;2057;7.81;1.28;4.54;2.41;10
Baby;2058;7.91;1.26;5.09;2.48;11
Baby;2060;6.49;1.59;3.8;2.02;18
Baby;2070;8.17;1.46;4.51;2.74;4
Baby;2071;7.86;1.32;5;2.34;14
Baby;2075;7.32;1.65;5.27;2.27;20
Babies;2080;8.09;1.47;4.7;2.59;4
Girls;2091;7.68;1.43;4.51;2.28;7
Clowns;2092;6.28;1.9;4.32;2.29;7
Toddler;2095;1.79;1.18;5.25;2.34;14
AngryFace;2100;3.85;1.99;4.53;2.57;1
Man;2101;4.49;1.34;3.46;1.86;17
NeuMan;2102;5.16;0.96;3.03;1.87;16
NeuWoman;2104;4.42;1.09;3.11;1.84;15
Male;2107;5.53;1.05;3.72;2.12;20
AngryFace;2110;3.71;1.82;4.53;2.25;1
PiercedFace;2115;3.83;1.7;4.98;2;19
AngryFace;2120;3.34;1.91;5.18;2.52;1
TongueOut;2122;5.15;1.82;4.59;1.91;19
Woman;2130;4.08;1.33;5.02;2;2
GrievingFem;2141;2.44;1.64;5;2.03;11
Baby;2150;7.92;1.59;5;2.63;2
Father/Child;2151;7.32;1.63;4.37;2.13;19
Mother;2152;6.93;1.42;4.5;2.25;16
Mother;2153;6.98;1.5;4.4;2.24;15
Family;2154;8.03;1.13;4.48;2.31;16
Pregnant;2155;6.78;1.97;5.43;2.09;20
Family;2156;7.12;1.46;4.34;2.11;17
Children;2158;7.31;1.48;5;2.2;20
Father;2160;7.58;1.69;5.16;2.18;3
Father;2165;7.63;1.48;4.55;2.55;9
Mother;2170;7.55;1.42;4.08;2.48;4
Man;2190;4.83;1.28;2.41;1.8;4
Farmer;2191;5.3;1.62;3.61;2.14;14
NeutFace;2200;4.79;1.38;3.18;2.17;1
Hospital;2205;1.95;1.58;4.53;2.23;6
Fingerprint;2206;4.06;1.4;3.71;2.03;10
Bride;2208;7.35;1.68;5.68;2.34;11
Bride;2209;7.64;1.46;5.59;2.37;11
NeutFace;2210;4.38;1.64;3.56;2.21;1
NeutFace;2210;4.7;0.93;3.08;1.76;2
Man;2211;5.19;1.69;4.05;2.07;17
NeutMan;2214;5.01;1.12;3.46;1.97;11
NeutMan;2215;4.63;1.24;3.38;2;12
Children;2216;7.57;1.31;5.83;2.2;11
Class;2217;6.24;1.52;4.08;1.85;17
MaleFace;2220;5.03;1.39;4.93;1.65;3
Judge;2221;4.39;1.21;3.07;2.08;9
BoysReading;2222;7.11;1.54;4.08;2.15;14
Boys;2224;7.24;1.58;4.85;2.11;14
SadFace;2230;4.53;1.22;4.13;1.68;3
Butcher;2235;5.64;1.27;3.36;1.92;13
NeutChild;2240;6.53;1.48;3.75;2.14;10
NeutBaby;2250;6.64;2.26;4.19;2.28;1
NeutBaby;2260;8.06;1.42;4.26;2.44;1
NeutChild;2270;6.28;1.62;3.15;2.03;9
Woman;2271;4.2;1.26;3.74;1.69;11
LonelyBoy;2272;4.5;1.78;3.74;1.94;13
Boy;2273;5.41;1.55;3.52;1.81;17
Kids;2274;7.47;1.51;4.22;2.05;19
Girl;2276;2.67;1.66;4.63;1.93;12
Kids;2278;3.36;1.57;4.55;2.02;14
Braces;2279;4.71;1.55;3.74;1.83;18
Boy;2280;4.22;1.54;3.77;1.89;12
Family;2299;7.27;1.53;3.95;2.22;13
AttractiveFem;2300;7.04;1.35;5.55;2.04;17
KidCry;2301;2.78;1.38;4.57;1.96;17
ChildCamera;2302;6.43;1.32;3.64;1.94;19
Children;2303;6.83;2.07;5.53;2.1;12
Girl;2304;7.22;1.31;3.63;2.15;11
Woman;2305;5.41;1.12;3.63;2.04;16
Boy;2306;7.08;1.37;4.46;2.11;15
GirlMakeup;2308;5.22;1.62;3.82;2.15;19
GirlCow;2309;4.89;1.71;4.33;1.92;18
Mother;2310;7.06;1.52;4.16;2.01;12
Mother;2311;7.54;1.37;4.42;2.28;10
Mother;2312;3.71;1.64;4.02;1.66;12
Binoculars;2314;7.55;1.24;4;2.01;18
Girl;2320;6.17;1.51;2.9;1.89;10
Chef;2331;7.24;1.72;4.3;2.38;12
