Description;IAPS;ValenceMean;ValenceSD;ArousalMean;ArousalSD;set
Wedding;4626;7.6;1.66;5.78;2.42;14
Wedding;4628;7.23;1.72;5.19;2.11;19
BikerCouple;4631;5.36;1.86;5.19;2.04;6
Prostitute;4635;3.86;1.85;4.23;2.35;10
Romance;4640;7.18;1.97;5.52;2.28;5
Romance;4641;7.2;1.59;5.43;2.1;7
EroticCouple;4643;6.84;1.54;6.01;2;16
EroticCouple;4645;6.73;1.59;5.69;2.16;16
EroticCouple;4647;5.89;1.95;6.21;2.26;15
EroticCouple;4649;5.77;2.01;5.99;2.25;16
EroticCouple;4650;6.96;1.54;5.67;2.14;2
EroticCouple;4651;6.32;2.18;6.34;2.05;8
EroticCouple;4652;6.79;2.02;6.62;2.04;8
EroticCouple;4653;6.56;1.65;5.83;2.07;8
EroticCouple;4656;6.73;1.94;6.41;2.19;11
EroticCouple;4658;6.62;1.89;6.47;2.14;9
EroticCouple;4659;6.87;1.99;6.93;2.07;7
EroticCouple;4660;7.4;1.36;6.58;1.88;3
EroticCouple;4664;6.61;2.23;6.72;2.08;7
EroticCouple;4664.1;5.63;2.61;6.63;1.87;12
Attack;4664.2;2.79;1.77;6.13;2.29;11
EroticCouple;4666;6.24;1.78;6.1;2.2;11
EroticCouple;4668;6.67;1.69;7.13;1.62;20
EroticCouple;4669;5.97;2.13;6.11;2.42;10
EroticCouple;4670;6.99;1.73;6.74;2.03;9
EroticCouple;4672;6;2.04;6.29;2.37;10
EroticCouple;4676;6.81;1.67;6.07;2.22;13
EroticCouple;4677;6.58;1.65;6.19;2.08;14
EroticCouple;4680;7.25;1.83;6.02;2.27;4
EroticCouple;4681;6.69;1.82;6.68;1.7;12
EroticCouple;4683;6.17;2.07;6.62;1.79;12
EroticCouple;4687;6.87;1.51;6.51;2.1;11
EroticCouple;4689;6.9;1.55;6.21;1.74;12
EroticCouple;4690;6.83;1.94;6.06;2.21;4
EroticCouple;4692;5.87;2.14;6.39;2.19;19
EroticCouple;4693;6.16;1.91;6.57;1.9;19
EroticCouple;4694;6.69;1.7;6.42;2.08;15
EroticCouple;4695;6.84;1.53;6.61;1.88;16
EroticCouple;4697;6.22;1.76;6.62;1.69;17
EroticCouple;4698;6.5;1.67;6.72;1.72;20
Couple;4700;6.91;1.94;4.05;1.9;6
NudeFemale;4750;5.57;1.92;4.9;2.15;3
FemaleKiss;4770;4.91;2.61;5.85;2.22;3
EroticCouple;4800;6.44;2.22;7.07;1.78;6
EroticCouple;4810;6.56;2.09;6.66;2.14;5
Flower;5000;7.08;1.77;2.67;1.99;1
Sunflower;5001;7.16;1.56;3.79;2.34;7
Flower;5010;7.14;1.5;3;2.25;1
Flower;5020;6.32;1.68;2.63;2.1;1
Flower;5030;6.51;1.73;2.74;2.13;1
Venusflytrap;5040;5.39;1.11;3.75;1.89;18
PineNeedles;5120;4.39;1.34;3.07;2.12;9
Rocks;5130;4.45;1.13;2.51;1.72;10
Garden;5199;6.93;1.91;4.7;2.52;20
Flowers;5200;7.36;1.52;3.2;2.16;3
Nature;5201;7.06;1.71;3.83;2.49;7
Garden;5202;7.25;1.44;3.73;2.22;18
Seaside;5210;8.03;1.09;4.6;2.48;18
Harbor;5215;6.83;1.7;5.4;2.15;20
Nature;5220;7.01;1.5;3.91;2.27;3
Nature;5250;6.08;2.01;3.64;2.27;4
Waterfall;5260;7.34;1.74;5.71;2.53;6
Nature;5270;7.26;1.57;5.49;2.54;5
Galaxy;5300;6.91;1.8;4.36;2.62;4
Galaxy;5301;6.54;1.68;5.21;2.42;20
Boat;5390;5.59;1.54;2.88;1.97;10
Boat;5395;5.34;1.21;4.23;2.03;12
Violinist;5410;6.11;1.58;3.29;2.09;10
Liftoff;5450;7.01;1.6;5.84;2.4;5
Cockpit;5455;5.79;1.37;4.56;2.17;11
Astronaut;5460;7.33;1.51;5.87;2.5;5
Astronaut;5470;7.35;1.62;6.02;2.26;6
Satellite;5471;5.21;1.18;3.26;2.05;16
Fireworks;5480;7.53;1.63;5.48;2.35;6
Mushroom;5500;5.42;1.58;3;2.42;1
Mushroom;5510;5.15;1.43;2.82;2.18;1
Mushroom;5520;5.33;1.49;2.95;2.42;1
Mushroom;5530;5.38;1.6;2.87;2.29;1
Mushroom;5531;5.15;1.45;3.69;2.11;7
Mushrooms;5532;5.19;1.69;3.79;2.2;7
Mushrooms;5533;5.31;1.17;3.12;1.92;8
Mushrooms;5534;4.84;1.44;3.14;2.03;8
Stilllife;5535;4.81;1.52;4.11;2.31;12
Clouds;5551;7.31;1.63;3.26;2.47;13
Sky;5593;6.47;1.57;3.98;2.31;10
Sky;5594;7.39;1.45;4.15;2.76;9
Mountains;5600;7.57;1.48;5.19;2.7;2
Mountains;5611;7.05;1.58;3.99;2.56;13
SkyDivers;5621;7.57;1.42;6.99;1.95;7
Shark;5622;6.33;1.78;5.34;1.96;8
Windsurfers;5623;7.19;1.44;5.67;2.32;8
HangGlider;5626;6.71;2.06;6.1;2.19;8
Mountains;5628;6.51;1.95;5.46;2.09;8
Hiker;5629;7.03;1.55;6.55;2.11;7
Mountains;5631;7.29;1.34;3.86;2.64;16
WinterStreet;5635;6.25;1.56;3.97;2.03;15
Mountains;5660;7.27;1.59;5.07;2.62;6
Cave;5661;5.96;1.41;4.15;2.3;14
Building;5665;6.15;1.44;4.02;1.97;17
Mountains;5700;7.61;1.46;5.68;2.33;5
Field;5711;6.62;1.65;3.03;1.96;13
Farmland;5720;6.31;1.6;2.79;2.2;5
Field;5725;7.09;1.41;3.55;2.32;18
Grain;5726;6.23;1.6;2.84;2.04;19
Flowers;5731;5.39;1.58;2.74;1.95;8
Plant;5740;5.21;1.38;2.59;1.99;10
Nature;5750;6.6;1.84;3.14;2.25;1
Nature;5760;8.05;1.23;3.22;2.39;1
Field;5764;6.74;1.64;3.55;2.32;16
Courtyard;5779;7.33;1.42;3.57;2.3;11
Nature;5780;7.52;1.45;3.75;2.54;5
Lake;5781;7.13;1.49;3.82;2.37;15
Leaves;5800;6.36;1.7;2.51;2.01;6
Flowers;5811;7.23;1.6;3.3;2.33;13
Mountain;5814;7.15;1.54;4.82;2.4;15
Mountains;5820;7.33;1.73;4.61;2.59;2
Sea;5825;8.03;1.18;5.46;2.72;17
Sunset;5829;7.65;1.42;4.68;2.45;19
Sunset;5830;8;1.48;4.92;2.65;2
Seagulls;5831;7.63;1.15;4.43;2.49;9
Beach;5833;8.22;1.08;5.71;2.66;16
Beach;5836;7.25;1.39;4.28;2.41;15
Flowers;5849;6.65;1.93;4.89;2.43;12
Clouds;5870;6.78;1.76;3.1;2.22;3
Bicyclist;5875;6.03;1.43;3.29;2.12;12
Earth;5890;6.67;1.75;4.6;2.3;3
Clouds;5891;7.22;1.46;3.29;2.57;5
Desert;5900;5.93;1.64;4.38;2.1;3
Fireworks;5910;7.8;1.23;5.59;2.55;5
Volcano;5920;5.16;1.92;6.23;2.08;3
Lava;5940;4.23;1.68;6.29;1.85;3
Lightning;5950;5.99;2.07;6.79;1.98;3
Tornado;5961;3.52;1.86;5.8;2.37;15
Tornado;5970;4.14;1.77;4.88;2.59;4
Tornado;5971;3.49;1.87;6.65;2.02;11
Tornado;5972;3.85;2.33;6.34;2.2;12
Tornado;5973;3.51;1.83;5.78;2.27;16
Sky;5982;7.61;1.48;4.51;2.85;6
Sky;5990;6.54;1.78;4.44;2.43;5
Sky;5991;6.55;2.09;4.01;2.44;6
Skyline;5994;6.8;1.75;4.61;2.31;9
Prison;6000;4.04;1.74;4.91;2.17;3
Jail;6010;3.73;1.98;3.95;1.87;4
ElectricChair;6020;3.41;1.98;5.58;2.01;4
Assault;6021;2.21;1.51;6.06;2.38;15
Assault;6022;2.14;1.55;6.09;2.47;16
Outlet;6150;5.08;1.17;3.22;2.02;3
Aimedgun;6190;3.57;1.84;5.64;2.03;4
AimedGun;6200;2.71;1.58;6.21;2.28;1
AimedGun;6200;3.2;1.62;5.82;1.99;2
AimedGun;6210;2.95;1.83;6.34;2.14;1
Attack;6211;3.62;2.07;5.9;2.22;8
Soldier;6212;2.19;1.49;6.01;2.44;8
Terrorist;6213;2.91;1.52;5.86;2.06;11
BoysW/Guns;6220;3.1;1.91;5.89;2.43;18
AimedGun;6230;2.37;1.57;7.35;2.01;2
AimedGun;6231;2.49;1.54;6.82;2.11;17
Gun;6240;3.79;1.8;5.27;2.2;20
Gun;6241;3.42;1.52;4.54;2.35;9
Gang;6242;2.69;1.59;5.43;2.36;9
AimedGun;6243;2.33;1.49;5.99;2.23;10
AimedGun;6244;3.09;1.78;5.68;2.51;9
AimedGun;6250;2.83;1.79;6.54;2.61;5
AimedGun;6250.1;2.63;1.74;6.92;1.92;12
IceCream;6250.2;6.32;1.7;5.13;2.06;11
AimedGun;6260;2.44;1.54;6.93;1.93;6
AimedGun;6263;2.48;1.53;6.62;2.23;18
Knife;6300;2.59;1.66;6.61;1.97;5
DistressedFem;6311;2.58;1.56;4.95;2.27;13
Abduction;6312;2.48;1.52;6.37;2.3;8
Attack;6313;1.98;1.38;6.94;2.23;7
Attack;6314;4.09;1.51;4.6;2.31;10
BeatenFem;6315;2.31;1.69;6.38;2.39;13
Attack;6350;1.9;1.29;7.29;1.87;5
Attack;6360;2.23;1.73;6.33;2.51;5
Attack;6370;2.7;1.52;6.44;2.19;5
AimedGun;6410;3.49;2.07;5.89;2.28;1
DeadTiger;6415;2.21;1.51;6.2;2.31;13
Attack;6510;2.46;1.58;6.96;2.09;6
Attack;6520;1.94;1.27;6.59;2.08;19
Attack;6530;2.76;1.86;6.18;2.02;6
Attack;6540;2.19;1.56;6.83;2.14;6
Attack;6550;2.73;2.38;7.09;1.98;6
Knife;6555;3.33;1.59;5.69;2.21;13
Attack;6560;2.16;1.41;6.53;2.42;5
Attack;6561;3.16;1.46;4.99;2.19;10
Attack;6562;3.19;1.34;5.08;2.39;16
Attack;6563;1.77;1.23;6.85;2.18;20
Suicide;6570;2.19;1.72;6.24;2.16;6
Suicide;6570.1;2.54;1.76;6.12;2.17;12
BlowDry;6570.2;4.86;0.95;3.85;1.93;11
CarTheft;6571;2.85;2.05;5.59;2.5;9
Gun;6610;3.6;1.79;5.06;2.39;1
Gun;6800;4.01;2.06;4.87;2.57;1
Gang;6821;2.38;1.72;6.29;2.02;10
Military;6825;2.81;1.19;5.36;2.19;15
Guns;6830;2.82;1.81;6.21;2.23;7
Police;6831;2.59;1.5;5.55;2.16;8
Police;6832;4.02;1.64;5.51;1.73;17
Police;6834;2.91;1.73;6.28;1.9;12
Police;6836;3.46;1.61;5.47;1.91;11
Police;6837;4.25;1.53;4.5;2.06;19
Police;6838;2.45;1.44;5.8;2.09;11
Police;6840;3.63;2.04;5.95;1.9;12
Aircraft;6900;4.76;2.06;5.64;2.22;2
Bomber;6910;5.31;2.28;5.62;2.46;1
Missiles;6930;4.39;1.82;4.88;2.2;2
Tank;6940;3.53;2.07;5.35;2.02;4
RollingPin;7000;5;0.84;2.42;1.79;2
Buttons;7001;5.32;1.19;3.2;2.15;17
Towel;7002;4.97;0.97;3.16;2;7
Disk;7003;5;1.22;3.07;1.98;17
Spoon;7004;5.04;0.6;2;1.66;9
Bowl;7006;4.88;0.99;2.33;1.67;8
Mug;7009;4.93;1;3.01;1.97;7
Basket;7010;4.94;1.07;1.76;1.48;1
GasCan;7011;4.52;1.16;3.81;1.67;17
Rubberbands;7012;4.98;1.05;3;1.94;17
Lightbulb;7013;4.2;1.35;4.11;2.02;19
Scissors;7014;5.15;0.97;3.25;2.03;18
Razor;7016;4.76;1.08;3.4;1.71;17
Video;7017;5.18;1.07;3.12;1.97;18
Screw;7018;4.81;0.88;3.91;1.97;20
Tools;7019;5.2;1.17;3.36;1.87;18
Fan;7020;4.97;1.04;2.17;1.71;9
Whistle;7021;5.21;1.22;4.17;2.22;20
Garbage;7023;3.8;1.71;4.17;2.13;20
Stool;7025;4.63;1.17;2.71;2.2;8
PicnicTable;7026;5.38;1.26;2.63;1.93;19
Iron;7030;4.69;1.04;2.99;2.09;6
Shoes;7031;4.52;1.11;2.03;1.51;10
Shoes;7032;4.82;1.46;3.18;1.88;19
Train;7033;5.4;1.57;3.99;2.14;19
Hammer;7034;4.95;0.87;3.06;1.95;8
Mug;7035;4.98;0.96;2.66;1.82;8
Shipyard;7036;4.88;1.08;3.32;2.04;14
Trains;7037;4.81;1.12;3.71;2.08;14
Shoes;7038;4.82;1.2;3.01;1.96;13
Train;7039;5.93;1.58;3.29;2.15;13
DustPan;7040;4.69;1.09;2.69;1.93;5
Baskets;7041;4.99;1.12;2.6;1.78;14
Barbells;7042;5.55;1.23;4.02;2.26;15
Drill;7043;5.17;1.26;3.68;2.09;16
Scale;7044;4.69;1.4;3.94;2.17;15
Zipper;7045;4.97;0.76;3.32;1.96;20
Pill;7046;4.18;1.38;4.14;2.04;16
HairDryer;7050;4.93;0.81;2.75;1.8;2
Clothespins;7052;5.33;1.32;3.01;2.02;16
Candlestick;7053;5.22;0.75;2.95;1.91;15
Glass;7054;4.14;1.09;4.08;2.13;16
Lightbulb;7055;4.9;0.64;3.02;1.83;15
Tool;7056;5.07;1.02;3.07;1.92;15
Coffeecup;7057;5.35;1.37;3.39;2.01;16
Dice;7058;5.29;1.38;3.98;2.17;15
Keyring;7059;4.93;0.81;2.73;1.88;16
TrashCan;7060;4.43;1.16;2.55;1.77;2
Puzzle;7061;5.4;1.4;3.66;1.92;17
Sewing;7062;5.27;1.06;3.4;1.94;18
Stove;7077;5.12;1.46;4.61;2.06;19
Bucket;7078;3.79;1.45;3.69;1.86;20
Waste;7079;3.81;1.43;4.47;1.89;17
Fork;7080;5.27;1.09;2.32;1.84;1
Luggage;7081;5.36;1.3;3.96;2.24;17
Book;7090;5.19;1.46;2.61;2.03;1
Scale;7092;4.05;1.46;4.38;2.05;20
Headlight;7095;5.99;1.4;4.21;2.2;12
Car;7096;5.54;1.26;3.98;1.87;11
FireHydrant;7100;5.24;1.2;2.89;1.7;3
Hammer;7110;4.55;0.93;2.27;1.7;10
Truck;7130;4.77;1.03;3.35;1.9;3
CarDamage;7135;3.17;1.57;5.36;2.14;19
CarBoot;7136;3.47;1.7;5.01;2.17;20
CarDamage;7137;4.3;1.44;4.81;1.95;20
Bus;7140;5.5;1.42;2.92;2.38;6
Umbrella;7150;4.72;1;2.61;1.76;2
Fabric;7160;5.02;1.1;3.07;2.07;9
Pole;7161;4.98;1.02;2.98;1.99;13
BathRoom;7165;6.09;1.54;3.5;2.22;19
LightBulb;7170;5.14;1.28;3.21;2.05;2
Lamp;7175;4.87;1;1.72;1.26;10
Rug;7179;5.06;1.05;2.88;1.97;14
NeonBuilding;7180;4.73;1.31;3.43;1.95;10
Checkerboard;7182;5.16;1.31;4.02;2.12;9
Checkerboard;7183;5.58;1.39;3.78;2.19;10
AbstractArt;7184;4.84;1.02;3.66;1.89;11
AbstractArt;7185;4.97;0.87;2.64;2.04;10
AbstractArt;7186;4.63;1.6;3.6;2.36;12
AbstractArt;7187;5.07;1.02;2.3;1.75;10
AbstractArt;7188;5.5;1.12;4.28;2.16;16
Clock;7190;5.55;1.34;3.84;2.06;3
Vase;7192;5.77;1.33;3.58;2.01;15
Teeth;7195;6.02;1.65;4.54;2.03;12
Brownie;7200;7.63;1.74;4.87;2.59;1
Scarves;7205;5.56;1.39;2.93;2.16;10
Beads;7207;5.15;1.46;3.57;2.25;8
Clock;7211;4.81;1.78;4.2;2.4;12
ClothesRack;7217;4.82;0.99;2.43;1.64;8
Pastry;7220;6.91;1.74;5.3;2.35;11
FileCabinets;7224;4.45;1.36;2.81;1.94;7
Turkey;7230;7.38;1.65;5.52;2.32;2
Plate;7233;5.09;1.46;2.77;1.92;7
IroningBoard;7234;4.23;1.58;2.96;1.9;7
Chair;7235;4.96;1.18;2.83;2;7
Lightbulb;7236;5.64;1.31;3.79;2.24;14
AbstractArt;7237;5.43;1.36;3.88;2.18;9
AbstractArt;7238;6.43;1.42;4.17;2.38;9
Gym;7240;6.02;1.93;5.51;2.12;20
Building;7242;5.28;1.45;3.83;2.06;16
AbstractArt;7247;5.05;1;4.14;2.23;15
AbstractArt;7248;5.22;1.07;4.22;2.11;16
AbstractArt;7249;5.24;1.04;3.97;2.08;15
Cake;7250;6.62;1.56;4.67;2.15;14
Cracker;7255;5.07;1.18;3.36;1.99;19
Torte;7260;7.21;1.66;5.11;2.19;2
IceCream;7270;7.53;1.73;5.76;2.21;2
Alcohol;7279;6.22;1.92;5.19;2.09;17
Wines;7280;7.2;1.8;4.46;2.38;2
Food;7281;6.4;1.52;4.41;2.26;8
Cake;7282;6.72;1.48;4.77;2.08;8
Fruit;7283;5.5;1.84;3.81;2.01;8
Fruit;7284;6.21;1.66;4.06;2.2;7
Tomatoes;7285;5.67;1.6;3.83;2.11;7
Pancakes;7286;6.36;1.72;4.44;2.44;7
Tomato;7287;4.77;1.48;3.57;1.98;19
Food;7289;6.32;2;5.14;2.51;11
Fish;7290;4.37;1.54;3.87;2.07;18
Chicken;7291;6.35;1.91;4.81;2.38;13
Peanuts;7300;5.64;1.22;3.25;1.97;18
Desserts;7320;6.54;1.63;4.44;2.12;3
Watermelon;7325;7.06;1.65;3.55;2.07;9
IceCream;7330;7.69;1.84;5.14;2.58;4
IceCream;7340;6.68;1.63;3.69;2.58;4
Pizza;7350;7.1;1.98;4.97;2.44;4
Pizza;7351;5.82;1.67;4.25;2.28;5
Pizza;7352;6.2;2.2;4.58;2.45;6
Garlic;7354;5.51;1.67;3.73;2.19;19
PieW/bug;7359;2.92;1.7;5.36;2.19;14
FliesOnPie;7360;3.59;1.95;5.11;2.25;4
MeatSlicer;7361;3.1;1.73;5.09;2.48;8
Meat;7365;5.2;1.57;4.13;1.93;18
RoachOnPizza;7380;2.46;1.42;5.88;2.44;6
IceCream;7390;6.84;1.73;4.56;2.28;6
Candy;7400;7;1.64;5.06;2.23;5
Pastry;7402;5.98;2.04;5.05;2.12;12
Cupcakes;7405;7.38;1.73;6.28;2.16;20
Candy;7410;6.91;1.56;4.55;2.24;5
Candy;7430;7.11;1.78;4.72;2.29;6
Cookout;7440;6.32;1.61;4.7;1.96;19
Cheeseburger;7450;6.4;2.01;5.05;2.22;5
Hamburger;7451;6.68;2.11;5.84;2.03;17
FrenchFries;7460;6.81;2.08;5.12;2.49;6
FrenchFries;7461;5.8;2.28;5.2;2.27;20
Pancakes;7470;7.08;1.6;4.64;2.26;5
Grapes;7472;6.25;1.84;4;2.37;14
Shrimp;7475;6.33;1.66;4.17;2.49;10
Ramen;7476;4.99;2.24;4.63;2.02;17
Sushi;7477;6.12;2.03;4.82;2.32;18
Pasta;7480;7.08;1.62;4.55;2.42;6
Food;7481;6.53;1.78;4.92;2.13;12
Lamb;7482;6.36;1.77;4.81;2.24;15
Fish;7484;4.99;1.97;4.24;2.23;16
Pastry;7487;4.92;1.57;4.08;2;15
Chicken;7488;6.19;1.98;4.96;2.36;16
Ferrry;7489;6.54;1.61;4.49;2.22;17
Window;7490;5.52;1.41;2.42;2.23;4
Building;7491;4.82;1.03;2.39;1.9;9
Ferry;7492;7.41;1.68;4.91;2.46;19
Man;7493;5.35;1.34;3.39;2.08;13
Store;7495;5.9;1.6;3.82;2.33;12
Street;7496;5.92;1.66;4.84;1.99;12
Crowd;7497;5.19;1.55;4.97;2.16;18
Concert;7499;6.47;1.57;5.58;2.16;18
Building;7500;5.33;1.44;3.26;2.18;2
City;7501;6.85;1.7;5.63;2.27;6
Castle;7502;7.75;1.4;5.91;2.31;7
CardDealer;7503;5.77;1.39;4.21;2.39;10
Stairs;7504;5.67;1.46;4.25;2.27;14
Cards;7505;6.1;1.53;4.72;2.06;17
Casino;7506;5.34;1.46;4.25;1.95;15
Painting;7507;6.25;1.37;3.54;1.95;18
FerrisWheel;7508;7.02;1.46;5.09;2.11;16
Paintbrush;7509;6.03;1.35;3.43;2.02;19
Skyscraper;7510;6.05;1.6;4.52;2.35;2
Chess;7512;5.38;1.22;3.72;2.07;20
Crochet;7513;5.45;1.4;3.47;2.02;20
Crowd;7515;6.19;1.33;5.48;1.98;20
Hospital;7520;3.83;1.56;4.57;1.85;17
Hospital;7521;3.92;1.61;4.38;2.1;18
House;7530;6.71;1.36;4;2.14;19
Ocean;7545;6.84;1.72;3.28;2.34;11
Bridge;7546;5.4;1.13;3.72;2.16;15
Bridge;7547;5.21;0.96;3.18;2.01;16
Office;7550;5.27;1.4;3.95;1.91;3
Freeway;7560;4.47;1.65;5.24;2.03;3
Skyline;7570;6.97;1.69;5.54;2.34;3
Desert;7580;7.51;1.6;4.59;2.72;3
Traffic;7590;4.75;1.55;3.8;2.13;9
Traffic;7595;4.55;1.46;3.77;2.22;11
Dragon;7600;5.9;1.76;5.5;1.92;12
Jet;7620;5.78;1.72;4.92;2.11;3
Airplane;7632;5.22;1.69;4.78;2.36;18
Skyscraper;7640;5;1.31;6.03;2.46;6
City;7650;6.62;1.91;6.15;2.24;20
Crowd;7660;6.61;1.7;5.59;2.23;19
Office;7700;4.25;1.45;2.95;2.17;4
Cabinet;7705;4.77;1.02;2.65;1.88;11
Bed;7710;5.42;1.58;3.44;2.21;4
Agate;7820;5.39;1.41;4.21;2.05;3
Agate;7830;5.26;1.38;4.08;2.11;3
Violin;7900;6.5;1.72;2.6;2.08;4
CarCrash;7920;4.51;1.4;3.87;2.15;8
Tissue;7950;4.94;1.21;2.28;1.81;9
Basketball;8001;6.5;1.84;5.6;2.31;17
Runner;8010;4.38;1.86;4.12;2.08;4
Skier;8021;6.79;1.44;5.67;2.37;10
Skier;8030;7.33;1.76;7.35;2.02;2
Skier;8031;6.76;1.39;5.58;2.24;8
IceSkater;8032;6.38;1.57;4.19;2.08;8
IceSkater;8033;6.66;1.52;5.01;2.15;7
Skier;8034;7.06;1.53;6.3;2.16;7
Diver;8040;6.64;1.56;5.61;2.01;4
Diver;8041;6.65;1.67;5.49;2.29;7
Rower;8050;6.24;1.49;4.31;2.12;4
Boxer;8060;5.36;2.23;5.31;1.99;4
Kickboxing;8065;5.25;1.78;5.71;2.09;20
Sailing;8080;7.73;1.34;6.65;2.2;2
Gymnast;8090;7.02;1.33;5.71;2.1;2
Football;8116;6.82;1.77;5.97;2.29;11
Hockey;8117;6.02;1.68;5.3;2.44;9
Rugby;8118;6.14;1.51;4.9;1.98;18
Athlete;8120;7.09;1.36;4.85;2.13;2
Athlete;8121;4.63;1.54;4.14;2.1;19
PoleVaulter;8130;6.58;1.34;5.49;2.07;2
Hiker;8158;6.53;1.66;6.49;2.05;20
RockClimber;8160;5.07;1.97;6.97;1.62;3
HangGlider;8161;6.71;1.64;6.09;2.24;7
HotAirBalloon;8162;6.97;1.55;4.98;2.25;7
Parachute;8163;7.14;1.61;6.53;2.21;20
Sailboat;8170;7.63;1.34;6.12;2.3;6
Cliffdiver;8178;6.5;2;6.82;2.33;13
Bungee;8179;6.48;2.18;6.99;2.35;13
CliffDivers;8180;7.12;1.88;6.59;2.12;4
Skydivers;8185;7.57;1.52;7.27;2.08;12
Skysurfer;8186;7.01;1.57;6.84;2.01;14
Skier;8190;8.1;1.39;6.28;2.57;5
IceClimber;8191;6.07;1.73;6.19;2.17;14
VolcanoSkier;8192;5.52;1.53;6.03;1.97;14
Skier;8193;6.73;1.58;6.04;2.19;13
WaterSkier;8200;7.54;1.37;6.35;1.98;3
Waterskiing;8205;6.62;1.42;4.17;1.93;15
Surfers;8206;6.43;1.75;6.41;2.19;19
Surfer;8208;6.79;1.48;5.17;2.23;19
Boat;8210;7.53;1.31;5.94;2.07;5
Sailboat;8211;5.76;1.89;5.36;2.35;13
Runners;8220;6.5;1.73;5.19;2.17;4
Boxer;8230;2.95;1.88;5.91;2.15;4
Boxer;8231;3.77;1.83;5.24;1.84;12
Boxer;8232;5.07;1.8;5.1;2.21;11
Rowing;8241;5.76;1.31;4.06;1.96;16
Motorcyclist;8250;6.19;1.62;5.04;2.49;5
Motorcycle;8251;6.16;1.68;6.05;2.12;14
Motorcyclist;8260;6.18;1.8;5.85;2.18;6
Diver;8280;6.38;1.46;5.05;2.18;6
Pilot;8300;7.02;1.6;6.14;2.21;5
Golfer;8311;5.88;1.67;3.57;2.35;6
Golf;8312;5.37;1.41;3.32;2.06;19
CarRacer;8320;6.24;1.78;4.27;2.21;6
RaceCars;8325;5.63;1.5;4.47;2.19;18
Winner;8330;6.65;1.39;4.06;2.28;5
Plane;8340;6.85;1.69;5.8;2.36;6
Wingwalker;8341;6.25;1.86;6.4;2.27;13
TennisPlayer;8350;7.18;1.56;5.18;2.28;5
Rafting;8370;7.77;1.29;6.73;2.24;5
Rafting;8371;6.82;1.45;5.12;2.3;16
Athletes;8380;7.56;1.55;5.74;2.32;6
Rafters;8400;7.09;1.52;6.61;1.86;6
Tubing;8420;7.76;1.55;5.56;2.38;6
Runner;8460;6.4;1.58;4.55;2.57;5
HappyTeens;8461;7.22;1.53;4.69;2.2;10
Runner;8465;5.96;1.49;3.93;2.34;10
Nudists;8466;4.86;1.77;4.92;2.09;15
Runners;8467;6.35;1.44;5.12;2.36;16
Gymnast;8470;7.74;1.53;6.14;2.19;6
Biking/train;8475;4.85;1.85;6.52;1.91;14
BikerOnFire;8480;3.7;2.03;6.28;2.1;4
Fire;8485;2.73;1.62;6.46;2.1;14
RollerCoaster;8490;7.2;2.35;6.68;1.97;4
Rollercoaster;8492;7.21;2.26;7.31;1.64;17
WaterSlide;8496;7.58;1.63;5.79;2.26;9
CarnivalRide;8497;7.26;1.44;4.19;2.18;10
Rollercoaster;8499;7.63;1.41;6.07;2.31;16
Gold;8500;6.96;1.64;5.6;2.4;3
Money;8501;7.91;1.66;6.44;2.29;6
Money;8502;7.51;1.72;5.78;2.49;9
Money;8503;7.02;1.71;5.22;2.59;10
SportCar;8510;7.32;1.72;4.93;2.56;4
SportCar;8531;7.03;1.5;5.41;2.15;8
Athletes;8540;7.48;1.51;5.16;2.37;5
Mascot;8600;6.38;1.61;4.26;2.24;6
Woman;8620;6.04;1.43;4.6;2.08;14
Cemetery;9000;2.55;1.55;4.06;2.25;2
Cemetery;9001;3.1;2.02;3.67;2.3;5
Memorial;9002;3.39;1.84;4.55;1.94;17
HIVTattoo;9005;3.69;2.23;5.18;2.11;8
HIVTattoo;9006;2.34;1.59;5.76;2.46;7
Needles;9007;2.49;1.41;5.03;2.32;8
Needle;9008;3.47;1.85;4.45;2.1;7
BarbedWire;9010;3.94;1.7;4.14;2.05;2
Mud;9031;3.01;1.59;4.82;1.92;17
StarvingChild;9040;1.67;1.07;5.82;2.15;2
ScaredChild;9041;2.98;1.58;4.64;2.26;9
StickThruLip;9042;3.15;1.89;5.78;2.48;10
Teeth;9043;2.52;1.42;5.5;2.41;18
NativeFem;9045;3.75;1.67;3.89;2.16;9
Family;9046;3.32;1.49;4.31;1.99;12
PlaneCrash;9050;2.43;1.61;6.36;1.97;2
Boy;9070;5.01;1.89;3.63;2.03;2
StarvingChild;9075;1.66;1.1;6.04;2.4;18
Wires;9080;4.07;1.45;4.36;2.17;2
Exhaust;9090;3.56;1.5;3.97;2.12;2
Exhaust;9090;3.69;1.92;4.8;2.23;3
Cocaine;9101;3.62;1.96;4.02;2.33;9
Heroin;9102;3.34;1.76;4.84;2.5;9
Puddle;9110;3.76;1.41;3.98;2.23;2
OilFires;9120;3.2;1.75;5.77;1.94;6
Cow;9140;2.19;1.37;5.38;2.19;2
Cow;9145;3.2;1.39;5.05;2.26;18
Matador;9150;4.54;1.82;5.31;2.12;18
Plane;9156;6.43;1.59;5.79;2.3;11
Soldier;9160;3.23;1.64;5.87;1.93;2
Soldiers;9163;2.1;1.36;6.53;2.21;19
Fisher;9171;4.01;1.94;4.72;2.17;13
Seal;9180;2.99;1.61;5.02;2.09;2
